"PC","Standard_deviations","Proportion_of_explained_variance","Cumulative_proportion_of_explained_variance"
"PC161",3.32256512498725,0.229567014514428,55.6778783889311
"PC162",3.30577146817201,0.228406685216784,55.9074454034455
"PC163",3.29301507314791,0.227525303690316,56.1358520886623
"PC164",3.29020354718473,0.227331046061852,56.3633773923526
"PC165",3.28613298909796,0.227049797739477,56.5907084384145
"PC166",3.27783510183913,0.226476469261891,56.817758236154
"PC167",3.27042931663721,0.225964779066219,57.0442347054159
"PC168",3.25592404577474,0.224962561923331,57.2701994844821
"PC169",3.25318991711744,0.224773651930738,57.4951620464054
"PC170",3.24111563264441,0.223939399678456,57.7199356983361
"PC171",3.23650995483314,0.223621178164302,57.9438750980146
"PC172",3.22899999836856,0.223102290431525,58.1674962761789
"PC173",3.21446776864447,0.222098210611718,58.3905985666104
"PC174",3.20435283464295,0.221399336364446,58.6126967772221
"PC175",3.19911492641737,0.221037431959742,58.8340961135866
"PC176",3.18448585090157,0.220026660743848,59.0551335455463
"PC177",3.1801850209363,0.219729502175718,59.2751602062902
"PC178",3.16920136245622,0.218970604880747,59.4948897084659
"PC179",3.16193613828194,0.218468626511407,59.7138603133466
"PC180",3.15648483716978,0.218091978086331,59.932328939858
"PC181",3.15204863231894,0.217785466019578,60.1504209179444
"PC182",3.13479241440502,0.216593176845615,60.368206383964
"PC183",3.13079252364786,0.216316811162788,60.5847995608096
"PC184",3.125112851246,0.215924383809924,60.8011163719724
"PC185",3.12105456166945,0.2156439831595,61.0170407557823
"PC186",3.11599468873845,0.215294379802186,61.2326847389418
"PC187",3.10992792069399,0.214875206730981,61.447979118744
"PC188",3.10204102682421,0.214330275146085,61.662854325475
"PC189",3.09357767329852,0.213745514056811,61.877184600621
"PC190",3.075889513755,0.212523380606928,62.0909301146778
"PC191",3.06804637093923,0.21198147192707,62.3034534952848
"PC192",3.06256186547976,0.211602529303808,62.5154349672118
"PC193",3.048940063027,0.210661353915592,62.7270374965157
"PC194",3.04484824799715,0.210378636880707,62.9376988504312
"PC195",3.040248192728,0.210060803846586,63.148077487312
"PC196",3.02793805596665,0.209210255779577,63.3581382911585
"PC197",3.02208294212412,0.208805706597272,63.5673485469381
"PC198",3.02066852536183,0.208707979864706,63.7761542535354
"PC199",3.01432877840824,0.20826994577774,63.9848622334001
"PC200",2.99667158007823,0.207049951540508,64.1931321791778
"PC201",2.99332322663606,0.20681860272586,64.4001821307183
"PC202",2.97945615748802,0.205860481050399,64.6070007334442
"PC203",2.97634458108633,0.205645491944664,64.8128612144946
"PC204",2.96151375953606,0.204620781427934,65.0185067064393
"PC205",2.95133726921127,0.203917654050678,65.2231274878672
"PC206",2.94646114659547,0.20358074661043,65.4270451419179
"PC207",2.93654393303875,0.202895533522688,65.6306258885283
"PC208",2.92416449390178,0.202040197125316,65.833521422051
"PC209",2.91729507529636,0.201565566271932,66.0355616191763
"PC210",2.90704661062431,0.200857465948955,66.2371271854482
"PC211",2.90045506921014,0.200402034549847,66.4379846513972
"PC212",2.89837477962744,0.200258300461617,66.638386685947
"PC213",2.8902381058246,0.199696110754951,66.8386449864087
"PC214",2.88577214994417,0.199387543091155,67.0383410971636
"PC215",2.87527671839701,0.198662379009885,67.2377286402548
"PC216",2.87241881635681,0.198464917104862,67.4363910192646
"PC217",2.86261354516487,0.197787438485374,67.6348559363695
"PC218",2.8524918207781,0.197088095067924,67.8326433748549
"PC219",2.84739840189313,0.196736173909689,68.0297314699228
"PC220",2.84608699230848,0.196645564283744,68.2264676438325
"PC221",2.83001372006872,0.195535008739231,68.4231132081162
"PC222",2.82480294681964,0.195174979179808,68.6186482168555
"PC223",2.81650954915973,0.194601960903463,68.8138231960353
"PC224",2.80475903346596,0.193790078907069,69.0084251569387
"PC225",2.79497110451429,0.193113798520323,69.2022152358458
"PC226",2.79470128040637,0.193095155480211,69.3953290343661
"PC227",2.785094910668,0.192431419620054,69.5884241898464
"PC228",2.77688783919886,0.19186436590577,69.7808556094664
"PC229",2.7693330028988,0.191342377276711,69.9727199753722
"PC230",2.75662347925085,0.190464234248658,70.1640623526489
"PC231",2.75178994815465,0.190130269597379,70.3545265868975
"PC232",2.74645781917689,0.189761855169254,70.5446568564949
"PC233",2.73924206998117,0.189263295189831,70.7344187116642
"PC234",2.73016000225488,0.18863578508992,70.923682006854
"PC235",2.72678131066323,0.188402340112174,71.1123177919439
"PC236",2.71953670880182,0.187901786606643,71.3007201320561
"PC237",2.70195212658091,0.186686809656581,71.4886219186627
"PC238",2.70007222805068,0.186556921248998,71.6753087283193
"PC239",2.69704089262386,0.186347476257629,71.8618656495683
"PC240",2.68916255268607,0.185803135692189,72.048213125826
"PC241",2.67448607209114,0.184789089102577,72.2340162615181
"PC242",2.67061932771256,0.184521922943453,72.4188053506207
"PC243",2.65900091300888,0.183719168241414,72.6033272735642
"PC244",2.65223935827167,0.183251990059465,72.7870464418056
"PC245",2.64932378003772,0.183050543115441,72.970298431865
"PC246",2.64062329269372,0.182449397666293,73.1533489749805
"PC247",2.63358273628076,0.181962942335715,73.3357983726468
"PC248",2.62309250649746,0.181238137661516,73.5177613149825
"PC249",2.61510908353333,0.180686536562203,73.698999452644
"PC250",2.60251227090291,0.179816181111165,73.8796859892062
"PC251",2.59407329907199,0.179233104633829,74.0595021703174
"PC252",2.59267923131771,0.179136783881536,74.2387352749512
"PC253",2.58677384410947,0.178728761146105,74.4178720588327
"PC254",2.58117488735474,0.178341910704284,74.5966008199788
"PC255",2.57732879372009,0.178076171373364,74.7749427306831
"PC256",2.57024070069653,0.177586431581123,74.9530189020565
"PC257",2.56160813851467,0.176989979306103,75.1306053336376
"PC258",2.55270571884921,0.176374881684936,75.3075953129437
"PC259",2.53799213560128,0.175358271550304,75.4839701946287
"PC260",2.530600191013,0.174847537648408,75.659328466179
"PC261",2.52389964375111,0.174384574674723,75.8341760038274
