"","PCA-pc.1","PCA-pc.2","PCA-pc.3","PCA-pc.4","PCA-pc.5","PCA-pc.6"
"W0634",-18.6608738675196,11.627432930696,2.43433819022415,-9.95016525578927,3.50053184325455,-1.08076241722952
"W0635",15.3684381012808,5.76480047019795,2.63736856788136,11.9907918545263,-6.78788773197659,3.08455251684982
"W0637",15.8258522393995,6.51150046174214,3.66292157597792,13.6112445123853,-11.1046268999715,-1.58702177523876
"W0638",7.61321610222257,9.70385353092077,8.08165411294583,32.2792095457689,-6.51898591556292,4.25812879620302
"W0639",7.07411673883464,10.5388803950357,7.81961470617269,31.5648254216907,-6.01469150449592,4.48043924806854
"W1080",-19.4406640095165,-21.869045927288,17.9970919953989,9.68779312985055,-7.55458342805818,3.43827433251958
"W1082",-18.4468307733818,-26.0189833349816,21.4843866579707,8.42497497064167,-0.870167515911067,2.87239143516954
"W1083",-29.5858205602736,-42.6871721314708,25.6667577745271,-3.63319989240076,-1.53718681094199,3.57163385357734
"W1084",-29.725706677898,-42.3751724563788,25.3637292770447,-3.61623812994515,-1.52847334742275,3.68486107093537
"W1086",-16.0216598161965,7.47465579020264,9.00742011341538,21.335715323485,-11.9052890867306,2.81781982636647
"W1087",-16.3904364411015,7.52724444198437,9.47389458270512,20.2234546041616,-12.6666739114881,5.21399917702959
"W1090",-18.1899107679491,7.0975885848286,11.490029811074,30.9947095203873,-8.95446031512131,3.45995705531014
"W1092",-14.9783584836104,6.14523907167804,13.5948459328656,36.7160523920303,-11.1089103727248,3.22811974368835
"W1093",-10.6095579771669,6.77728373917726,-1.99285115726897,-1.66091356007818,-11.7716969152283,1.45008114196285
"W1096",-11.2334408035867,6.68801909869008,-3.01793549309095,-2.46558524621904,-11.070900572537,1.140680174499
"W1102",-4.75456379558912,-14.4001006104934,11.5021899219523,3.04183191346386,-7.37792124193483,4.08251003144568
"W1105",-6.02280377689402,-17.3624835144635,14.007305141704,0.760771550227395,-9.93231018113776,2.31535443526155
"W1107",-19.4361388940705,-1.59550940834161,16.5411269548931,23.3209184464523,-4.66855642171663,3.6285768369192
